SPECIES,COMMON_NAME,SCI_NAME,SPECIES_GROUP,MATURITY,NOTES
1918,SQUID,Teuthoidea,Cephalopod,U,Does not include market squid.  Additional species were enumerated seperately over time such as the blacktip squid  (see notes on species for years enumerated).
1950,GHOST SHRIMP,Callianassa californiensis,Crustacean,U,
1976,RED SHRIMP,Bentheogennema burkenroadi,Crustacean,U,
2007,GLASS SHRIMP,Pasiphaea pacifica,Crustacean,U,
2024,SERGESTID,Sergestid,Crustacean,U,
2026,OCTOPUS,Octopoda,Cephalopod,U,
2058,PYROSOMA,Pyrosoma atlanticum,Gelatinous,U,Enumeration stopped in 2002 and then resumed in 2012.
2318,ARMHOOK SQUID,Gonatus spp.,Cephalopod,U,Began enumeration in 2006.
2393,SALP,Salpidae,Gelatinous,U,Enumeration stopped in 2002 and then resumed in 2012.
2412,PACIFIC ARGENTINE.,Argentina sialis,Fish,U,
2415,LOOSEJAW,Malacosteidae,Fish,U,
2416,BLACKDRAGON,Idiacanthidae,Fish,U,
2468,THETYS SALP,Thetys vagina,Gelatinous,U,Enumeration stopped in 2002 and then resumed in 2012.
2476,UMBRELLAMOUTH GULPER,Eurypharyngidae,Fish,U,
2652,OCTOPOTEUTHIS,Octopoteuthis deletron,Cephalopod,U,Began enumeration in 2015.
2824,BLACKBELLY DRAGONFISH,Stomias atriventer,Fish,U,
2826,HUMBOLDT SQUID,Dosidicus gigas,Cephalopod,U,Began enumeration in 2005.
2827,BLACKTIP SQUID,Abraliopsis felis,Cephalopod,U,Began enuberation in 2006.
2828,BASEBALL SQUID,Cranchia scabra,Cephalopod,U,Began enumeration in 2005.
2831,ROBUST CLUBHOOK SQUID,Onykia robusta,Cephalopod,U,Began enuberation in 2006.
2833,SWORD-TAIL SQUID,Chiroteuthis calyx,Cephalopod,U,Began enuberation in 2006.
2834,LIGHTFISH,Phosichthyidae,Fish,U,
2838,FIRE SQUID,Pyroteuthidae,Cephalopod,U,Began enumeration in 2008.
2839,PURPLE-STRIPED JELLY,Chrysaora colorata,Jellyfish,U,Enumeration stopped in 2002 and then resumed in 2005.
2840,MOON JELLY,Aurelia spp.,Jellyfish,U,Enumeration stopped in 2002 and then resumed in 2005.
2841,BERRYTEUTHIS,Berryteuthis spp.,Cephalopod,U,Began enumeration in 2009.
2842,FRIED EGG JELLY,Phacellophora camtschatica,Jellyfish,U,Began enumeration in 2009.
2844,BLOB OCTOPUS,Alloposidae,Cephalopod,U,
2846,BOREAL CLUBHOOK SQUID,Onychoteuthis borealijaponica,Cephalopod,U,Began enumeration in 2013.
2847,SUNBEAM LAMPFISH,Lampadena urophaos,Myctophid,U,
2851,ARGONAUT,Argonauta argo,Cephalopod,U,
,TOTAL ROCKFISH YOY,Sebastes spp.,Rockfish,Y,Sum of all YOY rockfish species.
,TOTAL KRILL,Euphausiacea,Euphausiid,U,Sum of all krill species.
